                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.33656,                0.49406,                 0.2211,                0.82197,                 0.9206,                0.84683,                0.89088,                0.64448,                0.93657,                 0.8149,                0.85968,                0.57524,                 1.1497,                 2.8037,                0.51794,                 1.3868,                0.00109,                0.00109,                0.00109
                     92,                 0.3282,                0.48022,                0.21506,                0.82173,                0.92083,                0.84829,                0.89127,                0.64463,                0.93791,                0.81464,                0.86099,                0.57674,                 1.1489,                 2.8127,                0.51631,                 1.3882,               0.000991,               0.000991,               0.000991
                     93,                 0.3244,                0.47664,                  0.213,                0.81966,                0.92216,                0.84736,                0.89213,                  0.646,                  0.939,                0.81424,                0.86166,                0.57962,                 1.1471,                 2.8193,                0.51452,                 1.3895,               0.000892,               0.000892,               0.000892
                     94,                0.31843,                0.47121,                0.20937,                0.81732,                0.92123,                0.84749,                0.89253,                0.64647,                0.93911,                 0.8145,                0.86245,                0.58041,                  1.148,                 2.8308,                 0.5143,                 1.3919,               0.000793,               0.000793,               0.000793
                     95,                0.31647,                 0.4707,                0.20814,                 0.8165,                0.92172,                0.84711,                 0.8926,                0.64667,                0.93885,                0.81559,                0.86348,                0.58053,                 1.1486,                 2.8394,                0.51468,                 1.3941,               0.000694,               0.000694,               0.000694
                     96,                0.31166,                0.46483,                0.20584,                0.81574,                0.92051,                0.84721,                0.89217,                0.64659,                0.93956,                0.81617,                0.86366,                0.58022,                 1.1498,                 2.8502,                 0.5152,                 1.3965,               0.000595,               0.000595,               0.000595
                     97,                0.30927,                0.46332,                0.20322,                0.81481,                0.92219,                0.84612,                 0.8921,                0.64619,                0.94063,                0.81628,                0.86389,                0.58013,                 1.1515,                 2.8624,                0.51578,                 1.3989,               0.000496,               0.000496,               0.000496
                     98,                0.30642,                0.45855,                0.20222,                 0.8139,                0.92039,                0.84612,                0.89197,                0.64594,                0.93887,                0.81621,                0.86407,                0.57946,                 1.1539,                 2.8741,                0.51709,                 1.4017,               0.000397,               0.000397,               0.000397
                     99,                0.30357,                0.45888,                0.19902,                0.81368,                0.92009,                0.84645,                0.89227,                0.64584,                0.93906,                0.81604,                0.86458,                0.57948,                 1.1557,                  2.885,                0.51757,                 1.4041,               0.000298,               0.000298,               0.000298
                    100,                0.30153,                0.45572,                0.19796,                0.81149,                0.91885,                0.84601,                0.89197,                0.64587,                0.93966,                0.81586,                0.86462,                0.57908,                 1.1574,                 2.8973,                0.51771,                 1.4065,               0.000199,               0.000199,               0.000199
